system:time_start,SCL filter only
2017-05-27,0.591
2017-06-06,0.656
2018-05-04,0.637
2018-05-07,0.605
2018-05-09,0.594
2018-05-14,0.62
2018-05-22,0.628
2018-05-29,0.6
2018-06-06,0.606
2018-06-08,0.587
2018-06-11,0.535
2019-05-12,0.599
2019-06-01,0.484
2019-06-03,0.57
2019-06-03,0.63
2019-06-13,0.557
2019-06-13,0.629
2019-06-18,0.632
2019-06-23,0.595
2019-06-26,0.509
2019-06-26,0.486
2020-05-06,0.581
2020-05-08,0.551
2020-05-21,0.624
2020-05-31,0.594
2020-05-31,0.595
2020-06-02,0.591
2020-06-02,0.632
2020-06-15,0.536
2020-06-22,0.575
2020-06-27,0.501
2020-06-27,0.412
2021-05-11,0.544
2021-05-31,0.633
2021-05-31,0.696
2021-06-02,0.608
2021-06-02,0.607
2021-06-02,0.672
2021-06-05,0.604
2021-06-07,0.605
2022-05-03,0.355
2022-05-08,0.367
2022-05-18,0.379
2022-05-18,0.38
2022-06-10,0.376
2022-06-15,0.394
