system:time_start,SCL filter only
27-May-17,0.706
27-May-17,0.591
6-Jun-17,0.656
15-Aug-17,0.586
4-Sep-17,0.568
14-Oct-17,0.009
18-Dec-17,0.434
14-Jan-18,0.586
6-Feb-18,0.522
8-Feb-18,0.47
13-Feb-18,0.524
16-Feb-18,0.441
16-Feb-18,0.479
23-Feb-18,0.412
3-Mar-18,0.41
25-Mar-18,0.466
30-Mar-18,0.456
2-Apr-18,0.385
7-Apr-18,0.463
9-Apr-18,0.423
9-Apr-18,0.423
17-Apr-18,0.505
19-Apr-18,0.502
22-Apr-18,0.629
27-Apr-18,0.506
29-Apr-18,0.61
4-May-18,0.637
7-May-18,0.605
9-May-18,0.594
14-May-18,0.62
22-May-18,0.628
29-May-18,0.6
6-Jun-18,0.606
8-Jun-18,0.587
11-Jun-18,0.535
3-Jul-18,0.56
13-Jul-18,0.402
16-Jul-18,0.537
23-Jul-18,0.552
26-Jul-18,0.551
31-Jul-18,0.537
7-Aug-18,0.549
12-Aug-18,0.573
22-Aug-18,0.539
6-Sep-18,0.509
9-Sep-18,0.507
19-Sep-18,0.497
29-Sep-18,0.509
11-Oct-18,0.511
14-Oct-18,0.505
16-Oct-18,0.471
21-Oct-18,0.501
31-Oct-18,0.491
28-Nov-18,0.448
28-Nov-18,0.44
28-Nov-18,0.568
5-Dec-18,0.441
5-Dec-18,0.443
5-Dec-18,0.562
14-Jan-19,0.432
14-Jan-19,0.438
22-Jan-19,0.48
16-Feb-19,0.475
16-Feb-19,0.478
16-Feb-19,0.567
18-Feb-19,0.442
18-Feb-19,0.443
18-Feb-19,0.543
20-Mar-19,0.427
20-Mar-19,0.427
20-Mar-19,0.499
23-Mar-19,0.525
30-Mar-19,0.496
2-Apr-19,0.44
2-Apr-19,0.541
7-Apr-19,0.449
7-Apr-19,0.451
7-Apr-19,0.56
9-Apr-19,0.47
9-Apr-19,0.58
17-Apr-19,0.481
17-Apr-19,0.566
19-Apr-19,0.483
19-Apr-19,0.566
22-Apr-19,0.516
22-Apr-19,0.517
22-Apr-19,0.598
24-Apr-19,0.522
24-Apr-19,0.519
24-Apr-19,0.572
12-May-19,0.599
12-May-19,0.599
12-May-19,0.647
1-Jun-19,0.484
1-Jun-19,0.484
3-Jun-19,0.57
3-Jun-19,0.57
3-Jun-19,0.63
13-Jun-19,0.557
13-Jun-19,0.557
13-Jun-19,0.629
18-Jun-19,0.632
23-Jun-19,0.539
23-Jun-19,0.595
26-Jun-19,0.509
26-Jun-19,0.509
26-Jun-19,0.486
13-Jul-19,0.524
13-Jul-19,0.524
18-Jul-19,0.474
18-Jul-19,0.474
23-Jul-19,0.559
23-Jul-19,0.557
23-Jul-19,0.623
26-Jul-19,0.585
26-Jul-19,0.585
26-Jul-19,0.64
28-Jul-19,0.564
28-Jul-19,0.564
22-Aug-19,0.532
22-Aug-19,0.532
22-Aug-19,0.553
25-Aug-19,0.555
25-Aug-19,0.558
25-Aug-19,0.602
27-Aug-19,0.492
27-Aug-19,0.492
30-Aug-19,0.259
6-Sep-19,0.418
6-Sep-19,0.419
11-Sep-19,0.551
11-Sep-19,0.551
11-Sep-19,0.609
21-Sep-19,0.566
21-Sep-19,0.566
21-Sep-19,0.629
14-Oct-19,0.524
14-Oct-19,0.533
14-Oct-19,0.574
10-Nov-19,0.591
30-Nov-19,0.41
30-Nov-19,0.41
30-Nov-19,0.454
5-Dec-19,0.451
5-Dec-19,0.451
5-Dec-19,0.571
10-Dec-19,0.479
10-Dec-19,0.47
10-Dec-19,0.591
13-Dec-19,0.165
13-Dec-19,0.166
13-Dec-19,0.099
20-Dec-19,0.456
20-Dec-19,0.455
20-Dec-19,0.578
2-Jan-20,0.484
2-Jan-20,0.454
2-Jan-20,0.574
17-Jan-20,0.458
17-Jan-20,0.458
17-Jan-20,0.584
24-Jan-20,0.446
24-Jan-20,0.445
24-Jan-20,0.558
8-Feb-20,0.485
8-Feb-20,0.48
8-Feb-20,0.572
4-Mar-20,0.247
14-Mar-20,0.488
14-Mar-20,0.489
14-Mar-20,0.579
22-Mar-20,0.472
22-Mar-20,0.473
22-Mar-20,0.564
24-Mar-20,0.464
24-Mar-20,0.464
24-Mar-20,0.556
27-Mar-20,0.431
27-Mar-20,0.433
27-Mar-20,0.525
1-Apr-20,0.536
6-Apr-20,0.446
6-Apr-20,0.447
6-Apr-20,0.534
8-Apr-20,0.438
8-Apr-20,0.438
8-Apr-20,0.513
11-Apr-20,0.488
18-Apr-20,0.482
18-Apr-20,0.482
18-Apr-20,0.55
21-Apr-20,0.49
21-Apr-20,0.491
21-Apr-20,0.558
23-Apr-20,0.495
23-Apr-20,0.495
23-Apr-20,0.56
28-Apr-20,0.51
6-May-20,0.581
6-May-20,0.581
6-May-20,0.633
8-May-20,0.551
21-May-20,0.624
31-May-20,0.594
